minutes_since_peak,mean_normalized_attention,median_normalized_attention,mean_new_view_count,items_observed,eligible_for_fit
39.0,0.1474406441272063,0.029038112522686024,348.8095238095238,21,True
40.0,0.3340370082509315,0.37629431112193934,685.0952380952381,21,True
41.0,0.01293899443981729,0.0,35.333333333333336,21,True
42.0,0.00777230162027022,0.0,3.6666666666666665,21,True
43.0,0.002871759129327415,0.0,2.0476190476190474,21,True
44.0,0.20706556927633737,0.0499092558983666,556.2857142857143,21,True
45.0,0.2557389828438836,0.24271844660194175,395.8095238095238,21,True
46.0,0.015949218875871325,0.0,11.571428571428571,21,True
47.0,0.0043227240388973446,0.0,3.3333333333333335,21,True
48.0,0.005427765527769763,0.0,3.619047619047619,21,True
49.0,0.15829359885891348,0.019417475728155338,518.6190476190476,21,True
50.0,0.21872171643309807,0.0784313725490196,407.0,21,True
51.0,0.047598357583727914,0.0,21.428571428571427,21,True
52.0,0.004883644512076866,0.0,2.761904761904762,21,True
53.0,0.012961430083997178,0.0,86.66666666666667,21,True
54.0,0.19687397990863453,0.03720508166969147,620.5238095238095,21,True
55.0,0.2591666862396143,0.25738396624472576,382.1904761904762,21,True
56.0,0.05156223945092237,0.0,21.0,21,True
57.0,0.005012905135651257,0.0,3.0476190476190474,21,True
58.0,0.005802309249739053,0.0,2.857142857142857,21,True
59.0,0.1594935003720771,0.01818181818181818,423.0952380952381,21,True
60.0,0.3544468032646285,0.4240766073871409,762.6666666666666,21,True
61.0,0.00539302516768987,0.0,3.1904761904761907,21,True
62.0,0.006903680896941779,0.0,4.0476190476190474,21,True
63.0,0.003366040889359049,0.0,1.4761904761904763,21,True
64.0,0.15269568837428102,0.04069264069264069,258.95238095238096,21,True
65.0,0.219424805585992,0.10281398465099281,382.3809523809524,21,True
66.0,0.03659167631445978,0.0,20.285714285714285,21,True
67.0,0.0044546567280753,0.0,3.0476190476190474,21,True
68.0,0.005207405468787241,0.0,3.142857142857143,21,True
69.0,0.12486106759633267,0.009708737864077669,458.95238095238096,21,True
70.0,0.22514479753700758,0.1996370235934664,480.1904761904762,21,True
71.0,0.020838987878078134,0.0,9.761904761904763,21,True
72.0,0.004790523252168662,0.0,3.0952380952380953,21,True
73.0,0.004806850954856461,0.0,2.9523809523809526,21,True
74.0,0.16560050686523273,0.030095759233926128,430.8095238095238,21,True
75.0,0.26574652087441397,0.30409356725146197,573.2857142857143,21,True
76.0,0.014295720573279089,0.0,15.761904761904763,21,True
77.0,0.020261603590210477,0.0,5.666666666666667,21,True
78.0,0.020949709169906787,0.0,5.095238095238095,21,True
79.0,0.12909420531642354,0.009708737864077669,272.1904761904762,21,True
80.0,0.33971873013848647,0.33484573502722326,585.3333333333334,21,True
81.0,0.004071346389784428,0.0,3.4761904761904763,21,True
82.0,0.004399517596117748,0.0,3.142857142857143,21,True
83.0,0.004137522976146958,0.0,2.619047619047619,21,True
84.0,0.13203184180906094,0.0,398.57142857142856,21,True
85.0,0.2812533219520259,0.33980582524271846,527.7142857142857,21,True
86.0,0.012836902635526731,0.0,11.952380952380953,21,True
87.0,0.005489825706914455,0.0,2.380952380952381,21,True
88.0,0.003725165600974043,0.0,3.0,21,True
89.0,0.2126575625023501,0.030852994555353903,607.3333333333334,21,True
90.0,0.24163742503947847,0.1544256120527307,470.6666666666667,21,True
91.0,0.056562283077590765,0.0,24.38095238095238,21,True
92.0,0.004444029555293011,0.0,3.0952380952380953,21,True
93.0,0.01325913204515813,0.0,98.80952380952381,21,True
94.0,0.17346232452288568,0.018148820326678767,365.6190476190476,21,True
95.0,0.3079192256382588,0.3476161738080869,459.6666666666667,21,True
96.0,0.008148676168148725,0.0,5.142857142857143,21,True
97.0,0.006303343008299854,0.0,2.6666666666666665,21,True
98.0,0.0017358344720852033,0.0,0.6666666666666666,21,True
99.0,0.09903160972837072,0.0,235.71428571428572,21,True
100.0,0.2705426397500873,0.2667578659370725,414.4761904761905,21,True
101.0,0.003571289418769074,0.0,1.8095238095238095,21,True
102.0,0.012170288714780325,0.0,6.285714285714286,21,True
103.0,0.0007165656960458602,0.0,0.5238095238095238,21,True
104.0,0.1276009098661052,0.0,432.23809523809524,21,True
105.0,0.23418702398370878,0.18151815181518152,462.6666666666667,21,True
106.0,0.037241761101033825,0.0,21.476190476190474,21,True
107.0,0.0032760902961319997,0.0,1.5238095238095237,21,True
108.0,0.02277633934280396,0.0,221.95238095238096,21,True
109.0,0.23718110944184426,0.15949702183984116,514.0,21,True
110.0,0.19071928611133804,0.03581435010354489,257.4761904761905,21,True
111.0,0.03414626525514906,0.0,15.952380952380953,21,True
112.0,0.017928282598485133,0.0,3.380952380952381,21,True
113.0,0.0017588430721125659,0.0,1.2857142857142858,21,True
114.0,0.1914565041658062,0.0,438.76190476190476,21,True
115.0,0.26156772036788356,0.29918382263369475,474.3809523809524,21,True
116.0,0.015728533548726616,0.0,6.285714285714286,21,True
117.0,0.0018891277441209042,0.0,1.380952380952381,21,True
118.0,0.0012377043840792132,0.0,0.9047619047619048,21,True
119.0,0.1395906701220697,0.0,475.23809523809524,21,True
120.0,0.28367162500146675,0.2621359223300971,355.1904761904762,21,True
121.0,0.008561707767449803,0.0,28.904761904761905,21,True
122.0,0.0014982737280958894,0.0,1.0952380952380953,21,True
123.0,0.001823985408116735,0.0,1.3333333333333333,21,True
124.0,0.1599944431884752,0.0,450.9047619047619,21,True
125.0,0.29703419899261774,0.3670886075949367,485.5238095238095,21,True
126.0,0.03691266311719372,0.0,9.952380952380953,21,True
127.0,0.002161298756457485,0.0,1.6666666666666667,21,True
128.0,0.0013457109411770345,0.0,1.3333333333333333,21,True
129.0,0.1587470702521252,0.0,429.14285714285717,21,True
130.0,0.2615059428031152,0.2621359223300971,476.3809523809524,21,True
131.0,0.04205610749796821,0.0,46.523809523809526,21,True
132.0,0.0018891277441209042,0.0,1.380952380952381,21,True
133.0,0.018488193072490337,0.0,182.33333333333334,21,True
134.0,0.14004370184272483,0.010210834830292143,251.9047619047619,21,True
135.0,0.1377117135875277,0.029013539651837523,257.7142857142857,21,True
136.0,0.10839103292089042,0.0,42.42857142857143,21,True
137.0,0.0018467852257181942,0.0,1.35,20,True
138.0,0.00039085401602501464,0.0,0.2857142857142857,21,True
139.0,0.10356034516201364,0.0,401.85714285714283,21,True
140.0,0.24462277286800327,0.2919431279620853,285.3809523809524,21,True
141.0,0.002715810704727549,0.0,2.8095238095238093,21,True
142.0,0.0009119927040583675,0.0,0.6666666666666666,21,True
143.0,0.0012377043840792132,0.0,0.9047619047619048,21,True
144.0,0.08201399026860155,0.0,269.1904761904762,21,True
145.0,0.27149850977190115,0.2832257278596662,532.1904761904761,21,True
146.0,0.02876800875827053,0.0,15.666666666666666,21,True
147.0,0.0014545635026385465,0.0,1.2380952380952381,21,True
148.0,0.002111518891214441,0.0,1.5238095238095237,21,True
149.0,0.18175792754656758,0.0,454.6190476190476,21,True
