minutes_since_peak,mean_normalized_attention,median_normalized_attention,mean_new_view_count,items_observed,eligible_for_fit
83.0,0.012419860958003247,0.0,7.05,20,True
84.0,0.04494572701217894,0.0,32.95,20,True
85.0,0.3015752007107876,0.320924680428772,183.4,20,True
86.0,0.01272848663883298,0.0,6.55,20,True
87.0,0.010400023863027472,0.0,4.7,20,True
88.0,0.013184547376264812,0.0,5.5,20,True
89.0,0.15533585605926134,0.019565209648869753,104.8,20,True
90.0,0.2821568464172196,0.25425170068027214,173.9,20,True
91.0,0.010456325112921907,0.0,3.4,20,True
92.0,0.00850712806406651,0.0,3.35,20,True
93.0,0.012701977829454064,0.0,3.65,20,True
94.0,0.11380497014164843,0.0,89.35,20,True
95.0,0.28491007226578824,0.32872447218998024,171.4,20,True
96.0,0.048489143838595275,0.0,6.2,20,True
97.0,0.02514064491022864,0.0,5.3,20,True
98.0,0.024171229549066607,0.0,5.35,20,True
99.0,0.08171182683354598,0.0,65.5,20,True
100.0,0.2057233201970022,0.195564681350901,125.65,20,True
101.0,0.05978590189388526,0.0,20.4,20,True
102.0,0.028185823021287193,0.0,5.55,20,True
103.0,0.003863453297210945,0.0,1.65,20,True
104.0,0.08412162565209347,0.0,56.5,20,True
105.0,0.2118820107911461,0.14603066439523,143.65,20,True
106.0,0.07177460522528203,0.0,22.7,20,True
107.0,0.036551942846765016,0.0,5.55,20,True
108.0,0.010261705503397306,0.0,2.95,20,True
109.0,0.12800234855794132,0.0,69.0,20,True
110.0,0.22887803759702527,0.1770214048140551,171.3,20,True
111.0,0.00794984419829893,0.0,2.75,20,True
112.0,0.033068181472525125,0.0,4.7,20,True
113.0,0.038398582008722294,0.0,36.05,20,True
114.0,0.1467897396648703,0.0,75.25,20,True
115.0,0.18992467460469856,0.1549191984486102,121.35,20,True
116.0,0.037625415352038546,0.0,22.8,20,True
117.0,0.026015095722095927,0.0,4.2,20,True
118.0,0.05101139887914398,0.0,14.7,20,True
119.0,0.09820523175782579,0.0,79.0,20,True
120.0,0.22735994486239736,0.20276497695852536,155.25,20,True
121.0,0.07050375126897748,0.0,29.0,20,True
122.0,0.034550884486659564,0.0,9.7,20,True
123.0,0.04002795797335223,0.0,7.4,20,True
124.0,0.07450326485505501,0.0,56.7,20,True
125.0,0.270083673128967,0.2734056095127937,176.35,20,True
126.0,0.062114362722893446,0.0,20.85,20,True
127.0,0.027645180525100493,0.0,3.95,20,True
128.0,0.009924349618480417,0.0,4.5,20,True
129.0,0.15750012323059365,0.0,118.7,20,True
130.0,0.21295381237809835,0.1370712597837948,94.85,20,True
131.0,0.04320061951266868,0.0,44.05,20,True
132.0,0.02949340962830358,0.0,4.25,20,True
133.0,0.03817577278042107,0.0,34.8,20,True
134.0,0.08559727178757712,0.0,50.5,20,True
135.0,0.23476778803672932,0.15420234937476318,92.95,20,True
136.0,0.018331582233580994,0.0,20.75,20,True
137.0,0.04973670720284281,0.0,7.2,20,True
138.0,0.03377124212827897,0.0,4.05,20,True
139.0,0.061490731517263184,0.0,35.55,20,True
140.0,0.24229225473188576,0.23152369048971705,144.05,20,True
141.0,0.005292718203374671,0.0,1.45,20,True
142.0,0.040860644196939896,0.0,5.0,20,True
143.0,0.029553207421582496,0.0,3.0,20,True
144.0,0.07139102237074997,0.0,56.25,20,True
145.0,0.2119964993167498,0.15675083592759137,137.1,20,True
146.0,0.058909153836131475,0.0,21.42105263157895,19,True
147.0,0.03775163009445571,0.0,4.473684210526316,19,True
148.0,0.017159967371518887,0.0,2.6842105263157894,19,True
149.0,0.11164626156533662,0.0,72.0,19,True
150.0,0.15879877107380355,0.08403361344537816,98.21052631578948,19,True
151.0,0.08284169227054945,0.0,50.1578947368421,19,True
152.0,0.021544834713458076,0.0,2.526315789473684,19,True
153.0,0.021783289667058704,0.0,22.526315789473685,19,True
154.0,0.09093654610339673,0.0,46.63157894736842,19,True
155.0,0.24286390323339868,0.2012288786482335,162.89473684210526,19,True
156.0,0.003647733194372069,0.0,0.3684210526315789,19,True
157.0,0.015530428785071052,0.0,2.0526315789473686,19,True
158.0,0.018886762625842417,0.0,1.9473684210526316,19,True
159.0,0.10176194734502239,0.0,70.94736842105263,19,True
160.0,0.18293216910771556,0.1360544217687075,122.36842105263158,19,True
161.0,0.051659237317789854,0.0,14.421052631578947,19,True
162.0,0.014310674764955488,0.0,1.6842105263157894,19,True
163.0,0.015838956739548347,0.0,1.631578947368421,19,True
164.0,0.03876774210892468,0.0,21.210526315789473,19,True
165.0,0.19167367067054308,0.14153846153846153,119.36842105263158,19,True
166.0,0.015617179985679153,0.0,8.263157894736842,19,True
167.0,0.023471608549620996,0.0,2.736842105263158,19,True
168.0,0.014796747255442042,0.0,1.5263157894736843,19,True
169.0,0.06143773892556229,0.0,41.421052631578945,19,True
170.0,0.14313496758207167,0.07389162561576355,109.73684210526316,19,True
171.0,0.02968857123956803,0.0,9.894736842105264,19,True
172.0,0.04552969594874661,0.0,5.421052631578948,19,True
173.0,0.020971181594055026,0.0,2.1578947368421053,19,True
174.0,0.07428598506422052,0.0,48.421052631578945,19,True
175.0,0.19652990183281882,0.18153846153846154,113.94736842105263,19,True
176.0,0.036913927613840464,0.0,29.94736842105263,19,True
177.0,0.03889256154854643,0.0,4.842105263157895,19,True
178.0,0.019959817771810166,0.0,20.05263157894737,19,True
179.0,0.10840691796795707,0.0,59.78947368421053,19,True
180.0,0.19094342869336747,0.13538461538461538,120.63157894736842,19,True
