video_id,peak_rate_per_sec,time_to_peak_sec,drop_time_sec,peak_duration_sec
HsPvJlfPUd8,0.1338709677419355,17766.0,18073.0,307.0
IAczCdR15fE,0.02629032258064516,24839.0,25176.0,337.0
IHerbNj5Go0,0.0332258064516129,38245.0,38798.0,553.0
IJ5z80qXoP0,0.5620430107526881,2709.0,,
JljMU5fxk2w,0.16908602150537633,33993.0,34610.0,617.0
KBQg85Tben4,0.23548387096774195,22774.0,23667.0,893.0
KiR2cEYVY2k,0.2573655913978494,1387.0,3452.0,2065.0
L-ZgqTudq-4,0.2181720430107527,12659.0,12783.0,124.0
MKYqc0u8-N4,14.209086021505376,11022.0,11636.0,614.0
MnNF5wdXWQw,22.823172043010754,764.0,4594.0,3830.0
MyByrX_tA4g,1.1574193548387097,31874.0,32243.0,369.0
MzJsQfJ1fFM,29.058118279569896,35311.0,35649.0,338.0
N-dwYVVn5bA,0.028333333333333332,1108.0,1817.0,709.0
N0J1af7kwo0,0.014731182795698924,39105.0,39718.0,613.0
NCQhVKZ__Uw,0.8727575146627566,732.0,1620.0,888.0
NGz8ioQFuJY,40.94129032258064,37304.0,37919.0,615.0
OWlPCfn7O2c,0.33166666666666667,17611.0,17920.0,309.0
PWoyUhq7qxM,0.295483870967742,2587.0,,
R1JDQcEW86A,0.03881720430107527,37660.0,37752.0,92.0
SQgoRgTuTPo,0.03586021505376344,641.0,3040.0,2399.0
Sh8jcTbauTM,0.009908925318761384,242.0,,
SyW26Q5L-VU,0.4771505376344086,826.0,1837.0,1011.0
U1tUvYHqgFM,27.544301075268816,1133.0,4989.0,3856.0
UMDt2BMkmao,0.0636021505376344,28491.0,29104.0,613.0
WpHaNCa6O_g,0.00819672131147541,211.0,,
XYOxxdcrdO8,0.06301075268817205,17181.0,17212.0,31.0
XbYBSjt4QUA,17.94188172043011,11016.0,13475.0,2459.0
YS3SNHOhzBk,0.0878494623655914,34793.0,34824.0,31.0
YsNnkn4wwXE,0.03919354838709678,1966.0,3008.0,1042.0
_eTBY6n-ND8,18.15430107526882,948.0,2969.0,2021.0
a0G6alIlZEU,1.432258064516129,29877.0,30215.0,338.0
avk7uztNIiw,0.06370967741935483,20041.0,20378.0,337.0
borE_ZaTSUk,0.00819672131147541,211.0,,
cR85BeJ9WQc,0.025806451612903226,677.0,892.0,215.0
cROwzqGYWh8,0.27715053763440867,16355.0,16599.0,244.0
cmjLA3hokzI,0.08473118279569894,24344.0,25546.0,1202.0
dcpnPS5gS34,0.08650537634408602,45032.0,45402.0,370.0
e0btvm_nLB4,0.043548387096774194,31042.0,31351.0,309.0
ejjwYF5b4dQ,4.536570094718036,857.0,2142.0,1285.0
eqQ7wSYhhGg,0.7978494623655914,25052.0,25361.0,309.0
f03vMXJoNN8,5.146881720430107,30860.0,31783.0,923.0
fWgAydjq36A,0.1064516129032258,50571.0,,
fexJhwaE7PA,0.17419354838709677,41502.0,42332.0,830.0
fz2c4Strruw,0.06604056690128582,18595.0,,
gG-6DbREdL8,0.15166666666666667,19456.0,20655.0,1199.0
gGL6lW7Shn8,0.04204301075268817,1048.0,2984.0,1936.0
gYn-ZEVYL4U,0.04,10502.0,11117.0,615.0
hMHGn3Ptnrk,3.4419892473118283,37362.0,38255.0,893.0
hSDv9c0QPfw,0.022295081967213116,302.0,,
hpZUuDWBAbU,1.3911827956989247,19763.0,21885.0,2122.0
i4hnBWrERa0,0.04193548387096774,23308.0,23431.0,123.0
iemuoPIN2z4,0.07903225806451614,7948.0,8194.0,246.0
lxNeD0qjFlU,1.3225806451612903,61.0,152.0,91.0
mO0SgnG5Nyw,0.2518279569892473,24808.0,25761.0,953.0
nLxmT1OwKrc,0.016501650165016504,394.0,,
nlVr2BG1rm8,1.5333333333333334,30.0,92.0,62.0
oO15MSITIF0,0.026666666666666665,23545.0,24158.0,613.0
oWLpviRCvQE,5.127015601939701,698.0,1649.0,951.0
ogZyC848o9Y,0.6978494623655914,22589.0,23759.0,1170.0
p1_MdR0H5bI,0.23247105281309638,2270.0,,
p6gDdCOsH0g,0.14521505376344085,23080.0,23451.0,371.0
r-B-pkXT7QM,0.8910215053763441,31260.0,31567.0,307.0
r19ahcaGGM0,0.07580645161290323,47434.0,48479.0,1045.0
seJE7blnZqQ,0.03278688524590164,211.0,,
sm_xidnEfEc,0.017741935483870968,39382.0,39688.0,306.0
tpyNOAsmKf4,0.018333333333333333,34732.0,35347.0,615.0
wSqB5D6y57k,0.09945355191256831,152.0,,
wTm9bByy_W8,0.038978494623655914,1077.0,4241.0,3164.0
wggZpEfnPlY,1.9887634408602153,17704.0,18012.0,308.0
x9R3e8DlmvU,0.06,2062.0,2093.0,31.0
xRvYVonXkCk,3.420215053763441,769.0,1075.0,306.0
yAMsqxiVWWU,0.03387096774193548,35162.0,35780.0,618.0
yJ5uuM2J8QM,4.485483870967741,15923.0,16538.0,615.0
yxox1VRl8LM,0.015,14906.0,15184.0,278.0
z9o54vszbtA,0.0467741935483871,4956.0,5264.0,308.0
zIcvqiksIqQ,0.09677419354838711,92.0,215.0,123.0
zLNBEjKsPe4,2.4658064516129032,35279.0,35617.0,338.0
