timestep,rows_captured,unique_videos_captured,total_view_count,new_view_count,seconds_since_start
2026-03-07 03:54:30+00:00,5,5,111671,1242.0,4500.0
2026-03-07 03:55:00+00:00,5,5,112332,661.0,4530.0
2026-03-07 03:55:30+00:00,5,5,113347,1015.0,4560.0
2026-03-07 03:56:00+00:00,5,5,114175,828.0,4590.0
2026-03-07 03:56:30+00:00,5,5,114320,145.0,4620.0
2026-03-07 03:57:00+00:00,5,5,114973,653.0,4650.0
2026-03-07 03:57:30+00:00,5,5,116293,1320.0,4680.0
2026-03-07 03:58:00+00:00,5,5,117361,1068.0,4710.0
2026-03-07 03:58:30+00:00,5,5,118248,887.0,4740.0
2026-03-07 03:59:00+00:00,5,5,118630,382.0,4770.0
2026-03-07 03:59:30+00:00,5,5,119988,1358.0,4800.0
2026-03-07 04:00:00+00:00,5,5,120649,661.0,4830.0
2026-03-07 04:00:30+00:00,5,5,121484,835.0,4860.0
2026-03-07 04:01:00+00:00,5,5,122283,799.0,4890.0
2026-03-07 04:01:30+00:00,5,5,123049,766.0,4920.0
2026-03-07 04:02:00+00:00,5,5,123929,880.0,4950.0
2026-03-07 04:02:30+00:00,5,5,124707,778.0,4980.0
2026-03-07 04:03:00+00:00,5,5,125662,955.0,5010.0
2026-03-07 04:03:30+00:00,5,5,126221,559.0,5040.0
2026-03-07 04:04:00+00:00,5,5,127288,1067.0,5070.0
2026-03-07 04:04:30+00:00,5,5,127818,530.0,5100.0
2026-03-07 04:05:00+00:00,5,5,128343,525.0,5130.0
2026-03-07 04:05:30+00:00,5,5,129250,907.0,5160.0
2026-03-07 04:06:00+00:00,5,5,130345,1095.0,5190.0
2026-03-07 04:06:30+00:00,5,5,131061,716.0,5220.0
2026-03-07 04:07:00+00:00,5,5,131927,866.0,5250.0
2026-03-07 04:07:30+00:00,5,5,132724,797.0,5280.0
2026-03-07 04:08:00+00:00,5,5,133269,545.0,5310.0
2026-03-07 04:08:30+00:00,5,5,134439,1170.0,5340.0
2026-03-07 04:09:00+00:00,5,5,134624,185.0,5370.0
2026-03-07 04:09:30+00:00,5,5,135541,917.0,5400.0
2026-03-07 04:10:00+00:00,5,5,135834,293.0,5430.0
2026-03-07 04:10:30+00:00,5,5,136939,1105.0,5460.0
2026-03-07 04:11:00+00:00,5,5,137321,382.0,5490.0
2026-03-07 04:11:30+00:00,5,5,138439,1118.0,5520.0
2026-03-07 04:12:00+00:00,5,5,138737,298.0,5550.0
2026-03-07 04:12:30+00:00,6,6,140274,1536.0,5580.0
2026-03-07 04:13:00+00:00,6,6,140827,553.0,5610.0
2026-03-07 04:13:30+00:00,6,6,141553,726.0,5640.0
2026-03-07 04:14:00+00:00,6,6,142059,506.0,5670.0
2026-03-07 04:14:30+00:00,0,0,0,0.0,5700.0
2026-03-07 04:15:00+00:00,6,6,142986,927.0,5730.0
2026-03-07 04:15:30+00:00,6,6,143997,1011.0,5760.0
2026-03-07 04:16:00+00:00,6,6,144427,430.0,5790.0
2026-03-07 04:16:30+00:00,6,6,145106,679.0,5820.0
2026-03-07 04:17:00+00:00,6,6,146224,1118.0,5850.0
2026-03-07 04:17:30+00:00,6,6,146396,172.0,5880.0
2026-03-07 04:18:00+00:00,6,6,147530,1134.0,5910.0
2026-03-07 04:18:30+00:00,6,6,148153,623.0,5940.0
2026-03-07 04:19:00+00:00,6,6,149030,877.0,5970.0
2026-03-07 04:19:30+00:00,6,6,149763,733.0,6000.0
2026-03-07 04:20:00+00:00,6,6,150178,415.0,6030.0
2026-03-07 04:20:30+00:00,6,6,151075,897.0,6060.0
2026-03-07 04:21:00+00:00,6,6,151584,509.0,6090.0
2026-03-07 04:21:30+00:00,6,6,152561,977.0,6120.0
2026-03-07 04:22:00+00:00,6,6,153011,450.0,6150.0
2026-03-07 04:22:30+00:00,6,6,153369,358.0,6180.0
2026-03-07 04:23:00+00:00,6,6,154115,746.0,6210.0
2026-03-07 04:23:30+00:00,6,6,154722,607.0,6240.0
2026-03-07 04:24:00+00:00,6,6,155490,768.0,6270.0
2026-03-07 04:24:30+00:00,6,6,156170,680.0,6300.0
2026-03-07 04:25:00+00:00,6,6,156656,486.0,6330.0
2026-03-07 04:25:30+00:00,6,6,157448,792.0,6360.0
2026-03-07 04:26:00+00:00,6,6,157885,437.0,6390.0
2026-03-07 04:26:30+00:00,6,6,158898,1013.0,6420.0
2026-03-07 04:27:00+00:00,6,6,159385,487.0,6450.0
2026-03-07 04:27:30+00:00,6,6,160529,1144.0,6480.0
2026-03-07 04:28:00+00:00,6,6,160866,337.0,6510.0
2026-03-07 04:28:30+00:00,6,6,161914,1048.0,6540.0
2026-03-07 04:29:00+00:00,6,6,162366,452.0,6570.0
2026-03-07 04:29:30+00:00,6,6,162953,587.0,6600.0
2026-03-07 04:30:00+00:00,6,6,163854,901.0,6630.0
2026-03-07 04:30:30+00:00,6,6,164204,350.0,6660.0
2026-03-07 04:31:00+00:00,6,6,165133,929.0,6690.0
2026-03-07 04:31:30+00:00,6,6,165770,637.0,6720.0
2026-03-07 04:32:00+00:00,6,6,166870,1100.0,6750.0
2026-03-07 04:32:30+00:00,6,6,167203,333.0,6780.0
2026-03-07 04:33:00+00:00,6,6,168226,1023.0,6810.0
2026-03-07 04:33:30+00:00,6,6,168878,652.0,6840.0
2026-03-07 04:34:00+00:00,6,6,169327,449.0,6870.0
2026-03-07 04:34:30+00:00,6,6,170580,1253.0,6900.0
2026-03-07 04:35:00+00:00,6,6,170915,335.0,6930.0
