timestep,S,V,target_S,target_V,pred_target_S,pred_target_V
2026-03-07 07:22:00+00:00,768.0,4128.0,837.0,6779.0,786.7983650889668,3728.201257665469
2026-03-07 07:23:00+00:00,837.0,6779.0,1593.0,4538.0,760.7812171846307,4223.894382348276
2026-03-07 07:24:00+00:00,1593.0,4538.0,1778.0,4138.0,923.4568214916831,5391.763389778517
2026-03-07 07:25:00+00:00,1778.0,4138.0,759.0,1877.0,943.2739527314603,5514.449951073244
2026-03-07 07:26:00+00:00,759.0,1877.0,351.0,2325.0,819.6019079794064,3239.3703243546356
2026-03-07 07:27:00+00:00,351.0,2325.0,619.0,6470.0,648.941252598346,2945.3117446092106
2026-03-07 07:28:00+00:00,619.0,6470.0,513.0,2026.0,708.4777794476104,3593.135734259924
2026-03-07 07:29:00+00:00,513.0,2026.0,976.0,2672.0,722.862728603697,3064.401011023308
2026-03-07 07:30:00+00:00,976.0,2672.0,287.0,3953.0,872.8339027690304,3678.1537482977697
2026-03-07 07:31:00+00:00,287.0,3953.0,466.0,3263.0,609.1844010166099,2886.4531940893653
2026-03-07 07:32:00+00:00,466.0,3263.0,638.0,5288.0,690.8452576362192,3147.3779240649083
2026-03-07 07:33:00+00:00,638.0,5288.0,782.0,1743.0,729.7360203661935,3600.271687149119
2026-03-07 07:34:00+00:00,782.0,1743.0,510.0,3180.0,829.780324422875,3221.662408354841
2026-03-07 07:35:00+00:00,510.0,3180.0,375.0,4944.0,709.3639367841034,3200.826715907464
2026-03-07 07:36:00+00:00,375.0,4944.0,247.0,3369.0,639.4755806996899,3020.9036634167614
2026-03-07 07:37:00+00:00,247.0,3369.0,475.0,6082.0,594.1603805118624,2839.9583940396174
2026-03-07 07:38:00+00:00,475.0,6082.0,589.0,1657.0,666.6520364501288,3213.8585695045836
2026-03-07 07:39:00+00:00,589.0,1657.0,475.0,3845.0,758.4158321785644,3061.518097303248
2026-03-07 07:40:00+00:00,475.0,3845.0,566.0,2901.0,688.7496392931516,3198.2279271855764
2026-03-07 07:41:00+00:00,566.0,2901.0,369.0,3886.0,734.3816698503182,3241.6794518085135
2026-03-07 07:42:00+00:00,369.0,3886.0,574.0,5328.0,645.1972193725912,3024.506906376145
2026-03-07 07:43:00+00:00,574.0,5328.0,774.0,4043.0,708.487431780996,3457.1575427485086
2026-03-07 07:44:00+00:00,774.0,4043.0,2038.0,4458.0,789.9715598776515,3724.2157174749404
2026-03-07 07:45:00+00:00,2038.0,4458.0,1390.0,8351.0,922.1668405791708,6198.539402295038
2026-03-07 07:46:00+00:00,1390.0,8351.0,472.0,5426.0,796.3013722571638,6279.0668102975
2026-03-07 07:47:00+00:00,472.0,5426.0,691.0,8357.0,672.0518749963571,3223.9713108948213
2026-03-07 07:48:00+00:00,691.0,8357.0,1306.0,1935.0,701.9359554518061,3786.2847674574914
2026-03-07 07:49:00+00:00,1306.0,1935.0,1872.0,3827.0,966.7185904718995,3706.1641531119153
2026-03-07 07:50:00+00:00,1872.0,3827.0,534.0,8640.0,954.9157031502531,5480.11498022167
2026-03-07 07:51:00+00:00,534.0,8640.0,500.0,5184.0,658.1552611965419,3193.390429107886
