captured_at,video_id,channel_id,title,published_at,duration_seconds,view_count,like_count,comment_count
2026-03-23T09:07:29+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,11001,239,14
2026-03-23T09:08:00+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,43976,862,108
2026-03-23T09:08:00+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,11001,239,14
2026-03-23T09:08:30+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,43976,862,108
2026-03-23T09:08:30+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,11001,239,14
2026-03-23T09:09:01+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,43976,862,108
2026-03-23T09:09:01+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,11001,239,14
2026-03-23T09:09:32+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,43976,862,108
2026-03-23T09:09:32+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,11001,239,14
2026-03-23T09:10:03+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,43976,862,108
2026-03-23T09:10:03+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,11001,239,14
2026-03-23T09:10:34+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,43976,862,108
2026-03-23T09:10:34+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,11001,239,14
2026-03-23T09:11:04+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,43976,863,108
2026-03-23T09:11:04+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,11001,239,14
2026-03-23T09:11:35+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,43976,863,108
