captured_at,video_id,channel_id,title,published_at,duration_seconds,view_count,like_count,comment_count
2026-03-24T18:44:09+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58418,1603,160
2026-03-24T18:44:39+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58418,1603,160
2026-03-24T18:45:09+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58418,1603,160
2026-03-24T18:45:39+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58418,1603,160
2026-03-24T18:46:10+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58560,1603,160
2026-03-24T18:46:40+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58560,1603,160
2026-03-24T18:47:10+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58560,1603,160
2026-03-24T18:47:40+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58560,1603,160
2026-03-24T18:48:11+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58560,1603,160
2026-03-24T18:48:41+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58560,1603,160
2026-03-24T18:49:11+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58560,1603,160
2026-03-24T18:49:41+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58560,1603,160
2026-03-24T18:50:12+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58560,1603,160
2026-03-24T18:50:42+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58560,1603,160
2026-03-24T18:51:12+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58654,1603,160
2026-03-24T18:51:43+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58654,1603,160
2026-03-24T18:52:13+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58654,1603,160
2026-03-24T18:52:43+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58654,1603,160
2026-03-24T18:53:13+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58654,1603,160
2026-03-24T18:53:44+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58654,1604,160
2026-03-24T18:54:14+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58654,1604,160
2026-03-24T18:54:44+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58654,1604,160
